Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220419-23,2022-04-29,44103015509,OTRREIZĒJO IZEJVIELU ŠĶIROTĀJS,Pakalpojumi,750.000,1000.000,Viena vesela slodze,"","",2022-05-20,"","Daibe, Stalbes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319927475
220503-43,2022-05-03,44103015509,GADĪJUMA DARBU STRĀDNIEKS,Pakalpojumi,500.000,500.000,Viena vesela slodze,"","",2022-05-20,"","Daibe, Stalbes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321151029
220503-61,2022-05-03,44103015509,ATKRITUMU SAVĀCĒJS,Pakalpojumi,700.000,800.000,Viena vesela slodze,"","",2022-05-20,"","Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321154098
220413-197,2022-04-14,90000064301,INSPEKTORS,Valsts pārvalde,940.000,1190.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-08,"","Lubānas iela 49, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319811747
220503-32,2022-05-03,90000064301,INFORMĀCIJAS SISTĒMU ADMINISTRATORS,Valsts pārvalde,940.000,1287.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-01,"","Peldu iela 30, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321146613
220503-34,2022-05-03,90000064301,INFORMĀCIJAS SISTĒMU ADMINISTRATORS,Informācijas tehnoloģijas / Telekomunikācijas,940.000,1287.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-01,"","Peldu iela 30, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321147795
220405-153,2022-04-29,90000033458,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,180.000,190.000,Nepilna slodze,Nepilnais darba laiks,7,2022-05-30,"","Visbijas iela 1, Ceraukste, Ceraukstes pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319110362
220120-155,2022-03-01,90000033458,MĀSA (MEDICĪNAS MĀSA),Izglītība / Zinātne,600.000,650.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-30,"","Visbijas iela 1, Ceraukste, Ceraukstes pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/314480080
220429-98,2022-04-29,90000033458,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,870.000,880.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Skolas iela 20A, Ceraukste, Ceraukstes pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320900705
220426-116,2022-04-26,40003575567,ELEKTROINŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1587.000,1611.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320540026
220413-77,2022-04-13,40003575567,LĪNIJSTRĀDNIEKS,Elektronika / Enerģētika / Elektroenerģija,981.000,1073.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-10,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319770358
220413-81,2022-04-26,40003575567,RELEJU AIZSARDZĪBAS UN AUTOMĀTIKAS INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1480.000,1880.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319770897
220426-119,2022-04-26,40003575567,Programmatūras ARHITEKTS,Elektronika / Enerģētika / Elektroenerģija,1900.000,2300.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320540112
220420-184,2022-04-20,40003575567,PADOMES LOCEKLIS,Elektronika / Enerģētika / Elektroenerģija,3010.000,3010.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320126436
211228-12,2022-04-25,40900029747,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,569.420,569.420,Nepilna slodze,Normālais darba laiks,"",2022-05-29,"","Stacijas iela 45, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/312672153
220330-145,2022-04-25,40900029747,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,565.000,565.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-30,"","Stacijas iela 45, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/318717925
220421-20,2022-04-29,90000031048,PROJEKTA VADĪTĀJS,Valsts pārvalde,1450.000,1450.000,"","","",2022-05-05,"","Raunas iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320153255
220427-178,2022-04-29,90000031048,PROJEKTA VADĪTĀJS,Valsts pārvalde,1400.000,1400.000,"","","",2022-05-09,"","Raunas iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320681144
220425-235,2022-04-29,90000031048,PAŠVALDĪBAS IZPILDDIREKTORS,Valsts pārvalde,2441.000,2441.000,"","","",2022-05-06,"","Raunas iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320466353
220428-14,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1412.000,1412.000,"","","",2022-05-17,"","Noras iela 15, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320723754
220428-31,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1351.000,1351.000,"","","",2022-05-17,"","Ata Kronvalda iela 35, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320738938
220428-49,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1388.000,1388.000,"","","",2022-05-17,"","Sporta iela 14, Augšlīgatne, Līgatnes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320745756
220428-52,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1672.000,1672.000,"","","",2022-05-17,"","Bērzaines iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320747036
220428-101,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1332.000,1332.000,"","","",2022-05-17,"","Nītaures Skola, Nītaure, Nītaures pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320758705
220428-104,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1332.000,1332.000,"","","",2022-05-17,"","Mākslas iela 2, Augšlīgatne, Līgatnes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320759784
